database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
IDIGBIO_4308,"cyrtorhinus lividipennis reuter, 1884",14.58333,120.96667,fdbf7078-f74c-46a6-9494-b4283ce36fa9,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4309,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,6a88b9d6-6130-4b73-84c9-279d86eb19a6,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4310,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,f5017b95-2b88-45f6-b3b8-574e5dab1ea5,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4311,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,c8050e1d-9997-46cd-9bc9-ce2434ef929c,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4312,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,aee73cc7-64c0-4865-ae8d-e7360884fdbb,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4313,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,1709510b-8790-40db-878c-213e8994aeeb,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4314,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,85bf495b-0648-41e8-8bb6-8b9409050125,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4316,melaleucoides grossi,-33.901,137.6311,d67768c1-6a88-4556-a24f-6bc194b1b328,preservedspecimen,12/02/1964,south australia,NA,NA,1000,NA,australia,NA,1964
IDIGBIO_4323,creontiades dilutus,-33.833333,117.15,391df773-c2f0-43ab-b662-c5d24a41b9c7,preservedspecimen,22/11/1959,western australia,kojonup,NA,10000,"wallace, m.m.h.",australia,NA,1959
IDIGBIO_4336,pseudopantilius australis,-42.8831,147.3169,190a87d4-605b-4d06-86db-97427b5d48c4,preservedspecimen,26/11/1915,tasmania,NA,NA,5000,"cole, c",australia,NA,1915
IDIGBIO_4337,niastama obscuritarsis,-36.43,141.76,dfcde479-4823-4352-a08f-0a8c9f4ff1ef,preservedspecimen,1967-09-,victoria,NA,NA,5000,"mcfarland, n",australia,NA,1967
IDIGBIO_4338,sidnia kinbergi,-34.9331,138.6,5c1390d0-6912-4f02-bd4d-9599eba02c9b,preservedspecimen,15/11/1959,south australia,NA,NA,1000,"southcott, r. v",australia,NA,1959
IDIGBIO_4339,creontiades dilutus,-21.1,134.48,a803f4c5-a678-408a-92dd-3cddb0074f97,preservedspecimen,06/10/1977,northern territory,NA,NA,5000,south australian museum,australia,NA,1977
IDIGBIO_4340,creontiades dilutus,-24.9,128.7669,da7a2204-28c4-4e95-a667-bccd8e92d65c,preservedspecimen,03/11/1963,western australia,NA,NA,5000,"south australian museum aitken, p",australia,NA,1963
IDIGBIO_4341,creontiades dilutus,-29.65,138.0669,0201a655-8a9a-410a-a1a9-a20dd5bcf541,preservedspecimen,01/12/1974,south australia,NA,NA,5000,"herridge, j. a",australia,NA,1974
IDIGBIO_4342,creontiades dilutus,-35,138.6331,075d2504-ef1b-48e1-80a6-6cccb82aa07b,preservedspecimen,21/11/1963,south australia,NA,NA,5000,"gross, g. f|south australian museum",australia,NA,1963
IDIGBIO_4343,creontiades dilutus,-35.02,138.6,0d0a9700-db7c-4f48-a30b-fb1ae4e65ace,preservedspecimen,23/11/1955,south australia,NA,NA,5000,"tindale, b. norman",australia,NA,1955
IDIGBIO_4344,creontiades dilutus,-34.92,138.53,33dc5de4-82a1-446f-b735-967e4dba6982,preservedspecimen,28/12/1960,south australia,NA,NA,5000,"gross, g. f|south australian museum",australia,NA,1960
IDIGBIO_4345,creontiades dilutus,-25.8261,113.8653,cccb5a2f-da46-4995-8bd1-6827861c1dfa,preservedspecimen,2000-05-27-2000-05-31,western australia,NA,NA,100,"forrest, j. a",australia,NA,2000
IDIGBIO_4346,taylorilygus apicalis,-27.506944,152.984722,a8da246a-a921-4088-b44a-425e91b43d28,preservedspecimen,09/01/2005,queensland,indooroopilly,NA,NA,NA,australia,NA,2005
IDIGBIO_4347,protemiris grevilleae,-31.23414,120.1562,563fc3cf-b70f-4567-9e80-e278d44371d9,preservedspecimen,17/11/1999,western australia,123 km w of coolgardie on great eastern hiway,NA,100,"r.t. schuh, g. cassis, and r. silveira",australia,none,1999
IDIGBIO_4348,rayieria acaciae,-33.966,151.08992,771592ef-3bf4-4c87-9700-9c69c257843d,preservedspecimen,19/10/2006,new south wales,NA,NA,1000,"powell, fiona",australia,NA,2006
IDIGBIO_4349,rayieria gearyi,-17.09499,122.47666,331cb699-9a7f-4a77-ad1c-94e59964bf8a,preservedspecimen,19/05/1999,western australia,NA,NA,100,"cassis, a. gerasimos|australian museum",australia,kimberley district,1999
IDIGBIO_4350,rayieria kennedyi,-22.53027,117.93304,cce0e6b7-df9d-4bdc-82a6-a204eccecc86,preservedspecimen,01/06/2004,western australia,NA,NA,100,"bulbert, matthew|australian museum|science",australia,pilbara,2004
IDIGBIO_4351,rayieria kennedyi,-27.44755,114.68671,f8cffea8-4902-4942-b8b2-7d603bb752c0,preservedspecimen,30/10/1996,western australia,NA,NA,100,"schuh, t. randall|american museum of natural history|division of invertebrate zoology",australia,NA,1996
IDIGBIO_4358,myrmecoridea,-33.77207,147.81097,15c9c846-e1fd-4421-8259-476367296e9a,preservedspecimen,19/11/1997,new south wales,NA,NA,5,australian museum|terrestrial ecology department,australia,NA,1997
IDIGBIO_4367,diomocoris sp_ms_nebulosus,-31.95,115.83333,76fbaf32-e737-4333-bbbd-df5f104fd6fc,preservedspecimen,05/09/1962,western australia,"kings park, perth",NA,NA,e.s. ross & d.q. cavagnaro,australia,NA,1962
IDIGBIO_4368,melaleucaphylus glomeratae,-23.53956,133.8807,d84a3f7d-962b-431e-a9a4-5987ed16ca17,preservedspecimen,28/10/1962,northern territory,11 mi n of alice springs,NA,NA,ross and cavagnaro,australia,NA,1962
IDIGBIO_4369,"cyrtorhinus lividipennis reuter, 1884",14.58333,120.96667,696993aa-40ad-4b73-8e3c-da592efda1d9,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4370,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,53fdd638-970e-4f54-ba49-e0b0827e2461,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4371,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,b0a724e2-61be-4c8c-8d6e-dfd2dd5ebdf4,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4372,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,27ea1701-6b1e-49ae-8f3c-cf0191357d06,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4373,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,56294cc3-7a16-4500-80ef-709fa682d9af,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4374,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,2f520b1f-6a64-488e-b722-d9627224da81,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4375,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,a0fa3270-5bce-470b-9bc2-f97ee9c67cfe,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
IDIGBIO_4376,cyrtorhinus sp_nr_fulvus_philippines,14.58333,120.96667,78d54b68-7cc6-4dcc-b52d-654eb1c46ea2,preservedspecimen,20/11/2019,national capital region,manila (luzon),NA,NA,r. c. mcgregor,philippines,NA,2019
