database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,coordinatePrecision,recordedBy,country,county,year
GBIF_85,Miridae,-35.185829,149.033809,4893243164,HUMAN_OBSERVATION,2024-02-12T00:19,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_99,Miridae,-35.327936,149.083022,4893236500,HUMAN_OBSERVATION,2024-02-28T21:59:06,Australian Capital Territory,Dawson Street Gardens,Csteele4,NA,NA,Hejor1,NA,NA,2024
GBIF_101,Miridae,-35.275772,149.10926,4893236185,HUMAN_OBSERVATION,2024-04-17T02:34,Australian Capital Territory,Anbg,MichaelMulvaney,NA,NA,Timl,NA,NA,2024
GBIF_106,Miridae,-35.185829,149.033809,4893234323,HUMAN_OBSERVATION,2023-11-07T01:50,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_111,Miridae,-35.203628,149.14785,4893232427,HUMAN_OBSERVATION,2024-01-15T22:34,Australian Capital Territory,North Mitchell Grassland (NMG),KimberiRP,NA,NA,Happywanderer,NA,NA,2024
GBIF_112,Miridae,-35.185829,149.033809,4893232214,HUMAN_OBSERVATION,2024-02-27T03:27,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2024
GBIF_119,Miridae,-35.175171,149.149666,4893228874,HUMAN_OBSERVATION,2023-11-08T05:00,Australian Capital Territory,Mulligans Flat,MichaelMulvaney,NA,NA,Harrisi,NA,NA,2023
GBIF_121,Miridae,-35.185829,149.033809,4893227216,HUMAN_OBSERVATION,2023-11-17T01:20,Australian Capital Territory,Dunlop Grassland (DGE),MichaelMulvaney,NA,NA,Kasiaaus,NA,NA,2023
GBIF_124,Miridae,-35.381849,149.069551,4893224816,HUMAN_OBSERVATION,2023-12-18T04:20,Australian Capital Territory,Little Taylor Grassland (LTG),MichaelMulvaney,NA,NA,Chrisbenwah,NA,NA,2023
GBIF_130,Miridae,-35.203628,149.14785,4893221646,HUMAN_OBSERVATION,2024-03-04T06:55,Australian Capital Territory,North Mitchell Grassland (NMG),MichaelMulvaney,NA,NA,Happywanderer,NA,NA,2024
GBIF_132,Miridae,-35.276865,149.15641,4893221508,HUMAN_OBSERVATION,2023-12-30T03:51,Australian Capital Territory,Mount Ainslie NR (ANR),MichaelMulvaney,NA,NA,Silkesma,NA,NA,2023
GBIF_137,Miridae,-35.297945,149.012864,4893220085,HUMAN_OBSERVATION,2023-12-31T05:35,Australian Capital Territory,Bluett's Block (BBL),MichaelMulvaney,NA,NA,Swishart,NA,NA,2023
GBIF_138,Miridae,-35.260863,149.105407,4893219780,HUMAN_OBSERVATION,2024-02-20T23:11,Australian Capital Territory,Black Mountain,MichaelMulvaney,NA,NA,Conboekel,NA,NA,2024
