database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy,country,county,year
GBIF_1327,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321484,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1328,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321483,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1329,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321482,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1330,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321481,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1331,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321480,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1332,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321479,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1333,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321478,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1334,"Cyrtorhinus Fieber, 1858",14.58333,120.96667,2863321477,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1335,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863321455,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1336,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863321454,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1337,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863321453,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1338,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863321452,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1339,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863321451,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1340,"Cyrtorhinus lividipennis Reuter, 1885",14.58333,120.96667,2863321450,PRESERVED_SPECIMEN,2019-11-20,National Capital Region,Manila (Luzon),NA,NA,R. C. McGregor,NA,NA,2019
GBIF_1341,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321448,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1342,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321447,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1343,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321446,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1344,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321445,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1345,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321444,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1346,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321443,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1347,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321442,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
GBIF_1348,"Cyrtorhinus Fieber, 1858",10.63806,106.75944,2863321361,PRESERVED_SPECIMEN,1971-01-10,Ho Chi Minh City,Port of Saigon (Ho Chi Minh City),NA,NA,F.B. Steiner,NA,NA,1971
